Identyfikator,Temat,Status,Projekt,Priorytet,Plik 1,Plik 2,Pliki inne,Data zgłoszenia
0006551,Brakuje wyraźnego snapowania do końca/wierzchołka ściany co utrudnia rozpoczęcie rysowania np. kąta prostego,nowy,Designer,normalny,,,,2023-09-06
0006557,Brak walidacji w edytowalnych polach formularza po prawej stronie,nowy,Designer,normalny,,,,2023-09-06
0006558,"W formularzach po prawej stronie jednostki jak np. ""cm"" są rozpoznawane jako znak i można je wymazywać",nowy,Designer,normalny,,,,2023-09-06
0006559,Ściany - pola długość/kąt/szerokość zmiana kolorów podświetleń,nowy,Designer,normalny,,,,2023-09-06
0006561,Kliknięcie PPM nie przerywa rysowania stropu,nowy,Designer,normalny,,,,2023-09-06
0006594,Podczas rysowania polilinii ORTO lokalne nie zachowuje się poprawnie,rozwiązany,Designer,normalny,,,,2023-09-13
0006600,Orto powinno zachowywać się w sposób analogiczny do orto w dot4CAD,rozwiązany,Designer,normalny,,,,2023-09-13
0006846,"Błędne wyrysowanie narożnika typu ""U""",rozwiązany,Designer,wysoki,,,,2023-12-01
0006898,Złe rzutowanie otworu w widoku od spodu,rozwiązany,Designer,normalny,,,,2023-12-14
0006927,Popup z opcjami do wyboru nie wyjeżdża wraz z oknem poza ekran oraz przesłania inne aplikacje,nowy,Designer,normalny,,,,2023-12-22
0006928,Suma kontrolna w callstacku na analytics,rozwiązany,Designer,normalny,,,,2023-12-22
0006992,Złe wymiary viewportu po przeniesieniu okna na drugi monitor,rozwiązany,Designer,normalny,,,,2024-01-19
0007038,Usunąć wysyłanie logów do analyticsa z metody OGL_RedrawGL,przypisany,Designer,normalny,,,,2024-02-06
0007042,Dodać EventHandler na zmianę toola,rozwiązany,Designer,normalny,,,,2024-02-07
0007072,Exceptiony - Dodać metodę ITool::CleanUpAfterExcetpion(),rozwiązany,Designer,normalny,,,,2024-02-14
0007073,Exceptiony - TMouseManager::MouseUp/Down/Move,rozwiązany,Designer,normalny,,,,2024-02-14
0007074,Exceptiony -  NetTimerConnector.cpp,rozwiązany,Designer,normalny,,,,2024-02-14
0007075,Exceptiony - ControllerOpenGL::Render(),rozwiązany,Designer,normalny,,,,2024-02-14
0007076,Exceptiony - ToolManager::GetActiveTool(),rozwiązany,Designer,normalny,,,,2024-02-14
0007077,Exceptiony - ActionDeleteTgr::Excute(),rozwiązany,Designer,normalny,,,,2024-02-14
0000765,14. Edycja i wstawianie - przesuwanie precyzyjne przy pomocy klawiatury.,rozwiązany,dokumentacja,normalny,,,,2019-05-08
0001942,Szybkie włączanie/wyłączanie stron do druku nie aktualizuje się na spisie treści ani na wydruku,rozwiązany,dokumentacja,wysoki,,,,2020-03-13
0003146,"Dodanie widoczności ""obiektów niezdefiniowanych"" na stronie z płytkami",zawieszony,dokumentacja,normalny,,,,2021-03-18
0003721,Globalne (trwałego) wyłączenie znacznika kierunku,przypisany,dokumentacja,pilny,,,,2021-10-19
0003748,wcięcia na liście stron dla kładów,przypisany,dokumentacja,normalny,,,,2021-11-02
0003780,Nie działa wymiarowanie na pustej stronie.,nowy,dokumentacja,normalny,,,,2021-11-10
